x y z dist_to_nearest atom_1 atom_2 atom_3 atom_4
2.04895 6.44723 2.66279 0.830642 28 33 82 88
4.83263 9.23916 8.53203 0.830672 20 25 68 74
0.73467 -1.50923 13.8575 0.830675 4 9 40 46
3.51832 1.28272 19.7268 0.830678 12 17 54 60
5.13265 5.96563 5.02378 0.844703 90 32 78 117
2.349 9.72073 6.17099 0.844703 64 76 111 24
0.434647 1.76429 17.3658 0.844703 50 105 16 62
3.2183 -1.99081 16.2185 0.844703 8 36 48 99
0.240343 10.3849 6.49368 0.855998 64 76 112 25
2.54331 2.42843 17.6884 0.855998 50 106 62 17
5.32696 -2.65494 15.8959 0.855998 9 36 48 100
3.02399 5.3015 4.70109 0.855998 33 90 78 118
3.00376 5.48146 19.4388 0.859077 29 79 84 115
2.56354 2.24847 2.95075 0.859077 51 56 103 13
0.22011 6.11343 14.1455 0.859077 70 21 65 109
5.34719 1.6165 8.24402 0.859077 37 97 5 42
5.19306 5.8539 19.8755 0.860886 35 79 84 119
2.40941 5.74099 13.7088 0.860886 70 27 65 113
0.374239 1.87603 2.51401 0.860887 51 56 107 19
3.15789 1.98893 8.68076 0.860887 37 101 11 42
0.930287 5.91014 11.8266 0.887346 66 70 77 69
3.71394 5.68474 21.7577 0.887346 80 83 84 91
4.63701 1.81978 10.563 0.887346 41 38 42 49
1.85336 2.04518 0.631815 0.887346 56 63 55 52
0.749485 0.388273 10.2966 0.889095 5 10 41 47
3.53312 3.47672 0.8982 0.889115 13 55 61 18
2.03421 4.25314 21.4913 0.889152 34 29 83 89
4.81787 7.34179 12.093 0.889176 21 26 69 75
1.79057 0.364742 18.7824 0.906121 59 62 60 53
4.57421 -0.59126 14.8019 0.906123 39 46 45 48
3.77675 7.36517 3.60714 0.906129 88 90 81 87
0.99311 8.3212 7.58764 0.906132 67 73 76 74
1.42311 5.19756 9.4445 0.922056 94 108 22 66
4.20676 10.4888 1.75026 0.922057 30 80 95 114
4.14419 2.53236 12.945 0.922057 6 38 92 96
1.36054 -2.75888 20.6393 0.922057 14 52 93 102
4.92233 5.91942 9.85096 0.923665 94 110 66 26
2.13868 9.76694 1.34381 0.923666 34 116 80 95
0.644975 1.81051 12.5386 0.923666 10 38 98 92
3.42862 -2.03702 21.0457 0.923666 52 93 18 104
4.9179 6.61608 8.51542 0.923881 67 94 110 20
2.13425 9.07028 2.67934 0.923881 28 116 81 95
0.649403 1.11384 13.8741 0.923881 98 39 92 4
3.43305 -1.34036 19.7102 0.923881 12 53 93 104
1.34839 -2.08879 19.3423 0.933364 15 53 93 102
4.21891 9.81871 3.04718 0.933364 31 81 95 114
4.13204 1.86228 14.2419 0.933364 7 39 92 96
1.43526 5.86765 8.14758 0.933364 23 67 94 108
