STRUCTURE_NAME,Volume [nm^3],x_box [A],y_box [A],z_box [A],UnitCell,unit vector a,unit vector b,unit vector c,Framework Mass [g/mol],Framework Density [kg/m^3]
1499489-acs.cgd.6b01265_1499490_clean,13.957684777298967,16.43283,16.43283,44.76300,2 2 1,18.975000000000 -9.487500000000 0.000000000000,0.000000000000 16.432832036810 0.000000000000,0.000000000000 0.000000000000 44.763000000000,7431.963523612532,884.176956524562
ABAVIJ_clean,1.3203833085037429,8.89668,10.29200,13.08250,3 3 2,9.806400000000 2.809220607536 4.903077818759,0.000000000000 10.291995998989 0.000028532104,0.000000000000 0.000000000000 13.082502092853,1212.546311697941,1524.920904064109
ABAVOP_clean,1.28580700416298,9.47995,9.95307,13.21200,3 3 2,9.778000000000 -2.515372998961 0.000000000000,0.000000000000 9.953072996197 0.000000000000,0.000000000000 0.000000000000 13.212000000000,1212.546311697941,1565.927158582714
ABAYIO_clean,19.186412712011002,26.77100,26.77100,26.77100,1 1 1,26.771000000000 0.000000000000 0.000000000000,0.000000000000 26.771000000000 0.000000000000,0.000000000000 0.000000000000 26.771000000000,10966.507165204219,949.125306434317
ABAYOU_clean,18.921038342023,26.64700,26.64700,26.64700,1 1 1,26.647000000000 0.000000000000 0.000000000000,0.000000000000 26.647000000000 0.000000000000,0.000000000000 0.000000000000 26.647000000000,11158.274360404228,979.266907231770
ABEFUL_clean,2.3293097577908912,15.38730,15.38730,9.83790,2 2 3,15.387300000000 0.000000000000 0.000000000000,0.000000000000 15.387300000000 0.000000000000,0.000000000000 0.000000000000 9.837900000000,2175.734250527308,1551.056474977347
ABEMIF_clean,3.640892143104,15.38400,15.38400,15.38400,2 2 2,15.384000000000 0.000000000000 0.000000000000,0.000000000000 15.384000000000 0.000000000000,0.000000000000 0.000000000000 15.384000000000,2525.846288681358,1151.988418014222
ABESUX_clean,2.7861634714026398,15.51200,13.79530,13.01990,2 2 2,15.512000000000 0.000000000000 0.000000000000,0.000000000000 13.795300000000 0.000000000000,0.000000000000 0.000000000000 13.019900000000,6280.120306649498,3742.918563351835
ABETAE_clean,2.81902394832,15.52000,13.89000,13.07690,2 2 2,15.520000000000 0.000000000000 0.000000000000,0.000000000000 13.890000000000 0.000000000000,0.000000000000 0.000000000000 13.076900000000,6280.120306649498,3699.288537034435
ABETIN_clean,20.01897977741397,26.96290,26.96290,27.53650,1 1 1,26.962900000000 0.000000000000 0.000000000000,0.000000000000 26.962900000000 0.000000000000,0.000000000000 0.000000000000 27.536500000000,7199.918711443956,597.220436931062
ABEXEM_clean,2.63304432160155,11.04170,12.13500,19.65090,3 2 2,11.041700000000 0.000000000000 0.000000000000,0.000000000000 12.135000000000 0.000000000000,0.000000000000 0.000000000000 19.650900000000,2792.050582035041,1760.816588004641
ABEXEN_clean,15.518015246079644,21.73551,21.73551,28.44640,2 2 1,25.098000000000 -12.549000000000 0.000000000000,0.000000000000 21.735505584182 0.000000000000,0.000000000000 0.000000000000 28.446400000000,6302.066854178607,674.366270672363
ABEXIQ_clean,2.602591362976,11.03600,12.05600,19.56100,3 2 2,11.036000000000 0.000000000000 0.000000000000,0.000000000000 12.056000000000 0.000000000000,0.000000000000 0.000000000000 19.561000000000,2801.732759883761,1787.597475304124
ABEXOW_clean,2.572734125568,11.00800,12.00200,19.47300,3 2 2,11.008000000000 0.000000000000 0.000000000000,0.000000000000 12.002000000000 0.000000000000,0.000000000000 0.000000000000 19.473000000000,2808.068172572401,1812.432113168316
ABEXUC_clean,2.546989672788,10.98900,11.94600,19.40200,3 3 2,10.989000000000 0.000000000000 0.000000000000,0.000000000000 11.946000000000 0.000000000000,0.000000000000 0.000000000000 19.402000000000,2834.696001150000,1848.112121802383
ABEYAJ_clean,2.5117830879120002,10.96200,11.86800,19.30700,3 3 2,10.962000000000 0.000000000000 0.000000000000,0.000000000000 11.868000000000 0.000000000000,0.000000000000 0.000000000000 19.307000000000,2883.737738381839,1906.437787295031
ABEYEN_clean,2.493024498843999,10.94300,11.82800,19.26100,3 3 2,10.943000000000 0.000000000000 0.000000000000,0.000000000000 11.828000000000 0.000000000000,0.000000000000 0.000000000000 19.261000000000,2896.521913965919,1929.297852131353
ABEYIR,2.47763443956336,10.93400,11.79270,19.21520,3 3 2,10.934000000000 0.000000000000 0.000000000000,0.000000000000 11.792700000000 0.000000000000,0.000000000000 0.000000000000 19.215200000000,2938.823927895918,1969.633157076862
ABEYIR_clean,2.47763443956336,10.93400,11.79270,19.21520,3 3 2,10.934000000000 0.000000000000 0.000000000000,0.000000000000 11.792700000000 0.000000000000,0.000000000000 0.000000000000 19.215200000000,2938.823927895918,1969.633157076862
ABIXOZ_clean,2.085141542007172,11.00917,11.06004,14.25933,3 3 2,12.784600000000 5.814619581076 6.191631538083,0.000000000000 11.437977370906 3.759468838927,0.000000000000 0.000000000000 14.259331423168,2407.809838180822,1917.501235443924
ABIYIV,4.703278290864,11.10400,19.88340,21.30250,3 2 2,11.104000000000 0.000000000000 0.000000000000,0.000000000000 19.883400000000 0.000000000000,0.000000000000 0.000000000000 21.302500000000,3814.054534059291,1346.589520744708
ABIYIV_clean,4.703278290864,11.10400,19.88340,21.30250,3 2 2,11.104000000000 0.000000000000 0.000000000000,0.000000000000 19.883400000000 0.000000000000,0.000000000000 0.000000000000 21.302500000000,3814.054534059291,1346.589520744708
ABULOB_clean,1.74688551556632,8.50090,15.36520,13.37400,3 2 2,8.500900000000 0.000000000000 0.000000000000,0.000000000000 15.365200000000 0.000000000000,0.000000000000 0.000000000000 13.374000000000,1387.824861044595,1319.226078144465
ABUWOJ_clean,4.518157845021312,14.49880,17.16590,18.15360,2 2 2,14.498800000000 0.000000000000 0.000000000000,0.000000000000 17.165900000000 0.000000000000,0.000000000000 0.000000000000 18.153600000000,3151.981653634591,1158.433985996180
ac403674p_si_001_clean,3.2588556905533177,14.78430,13.81648,13.81648,2 2 2,14.784300000000 0.000000000000 0.000000000000,0.000000000000 15.953900000000 -7.976950000000,0.000000000000 0.000000000000 13.816482689437,2199.529775484718,1120.762844255839
ACAJIY_clean,5.5186535233001175,15.16237,15.16237,20.78880,2 2 2,17.508000000000 -8.754000000000 0.000000000000,0.000000000000 15.162372769458 0.000000000000,0.000000000000 0.000000000000 20.788800000000,3635.527330298597,1093.914285163533
ACAJIZ_clean,2.916842215167379,25.56658,13.07600,8.69086,1 2 3,25.667000000000 0.000000000000 -0.771052320727,0.000000000000 13.076000000000 0.000000000000,0.000000000000 0.000000000000 8.690863209066,2286.109972507940,1301.467087642944
ACAJOF_clean,3.191378404234,8.67700,13.04200,28.20100,3 2 1,8.677000000000 0.000000000000 0.000000000000,0.000000000000 13.042000000000 0.000000000000,0.000000000000 0.000000000000 28.201000000000,2342.216442126170,1218.702584233962
ACAKUM,2.226952015643063,9.63399,9.98988,21.44500,3 3 2,10.395000000000 -4.048348001030 0.000000000000,0.000000000000 9.989881004330 0.000000000000,0.000000000000 0.000000000000 21.445000000000,2132.710300832948,1590.266886097652
ACAKUM_clean,2.226951976008304,9.63399,9.98988,21.44500,3 3 2,10.395000000000 -4.048348067011 0.000000000000,0.000000000000 9.989880826533 0.000000000000,0.000000000000 0.000000000000 21.445000000000,2132.710300832948,1590.266914400842
ACALIB_clean,2.087556033029951,9.22387,10.45285,20.48450,3 3 2,9.749400000000 -3.578403999522 0.000000000000,0.000000000000 10.452854001168 0.000000000000,0.000000000000 0.000000000000 20.484500000000,2246.124789914657,1786.671657997740
ACECIV_ion_b,3.235398009661763,10.51460,26.84100,11.37057,3 1 3,10.601000000000 0.000000000000 -1.460637839154,0.000000000000 26.841000000000 0.000000000000,0.000000000000 0.000000000000 11.370568723808,5069.827715399032,2602.043159473100
ACIBIY_clean,5.132211443827979,14.00419,15.77269,20.34314,2 2 2,15.205000000000 6.991700090414 2.071888943159,0.000000000000 16.592050953565 6.641823933993,0.000000000000 0.000000000000 20.343142604747,5362.854048354329,1735.163667846043
ACIBOE_clean,3.779191386724753,13.47897,13.47897,14.55784,2 2 2,17.071300000000 -7.757905821705 -4.656777940617,0.000000000000 15.206714995408 -7.603489510290,0.000000000000 0.000000000000 14.557838100786,2505.837355927124,1101.039758661771
ACMPCD_clean,1.659977192630655,5.22715,15.73995,19.71628,5 2 2,5.349000000000 2.674486489790 2.674512858201,0.000000000000 15.739996994152 0.045726153250,0.000000000000 0.000000000000 19.716275502747,1685.989143815517,1686.559477179729
ACOCOM_clean,101.11653996947202,46.58800,46.58800,46.58800,1 1 1,46.588000000000 0.000000000000 0.000000000000,0.000000000000 46.588000000000 0.000000000000,0.000000000000 0.000000000000 46.588000000000,21308.121347003125,349.922581419503
ACOCUS_clean,102.54266137461599,46.80600,46.80600,46.80600,1 1 1,46.806000000000 0.000000000000 0.000000000000,0.000000000000 46.806000000000 0.000000000000,0.000000000000 0.000000000000 46.806000000000,21397.530388090297,346.503858874543
ACODAZ_clean,102.04396921699998,46.73000,46.73000,46.73000,1 1 1,46.730000000000 0.000000000000 0.000000000000,0.000000000000 46.730000000000 0.000000000000,0.000000000000 0.000000000000 46.730000000000,21086.704799867093,343.139238974613
ACODED,5.539833885098016,14.29920,16.08110,24.09180,2 2 1,14.299200000000 0.000000000000 0.000000000000,0.000000000000 16.081100000000 0.000000000000,0.000000000000 0.000000000000 24.091800000000,3774.754555876897,1131.464634842849
ACODON_clean,3.402626361535094,10.55730,13.82316,22.25927,3 2 2,10.557300000000 0.000000000000 0.000000000000,0.000000000000 14.479400000000 -6.939808794118,0.000000000000 0.000000000000 22.259265708937,2354.897716204714,1149.229577312691
ACODUT_clean,2.3283477144071187,14.77439,14.77439,9.23760,2 2 3,17.060000000000 -8.530000000000 0.000000000000,0.000000000000 14.774393388563 0.000000000000,0.000000000000 0.000000000000 9.237600000000,2130.040352097561,1519.109225931389
ACOGAB_clean,2.660539403754726,9.52992,16.33074,16.01986,3 2 2,9.981700000000 0.000000000000 -4.990908667374,0.000000000000 16.638200000000 -3.123191335783,0.000000000000 0.000000000000 16.019864631264,1849.852164458392,1154.559542870525
ACOGEF_clean,2.686720321399997,9.42049,16.50034,16.19267,3 2 2,9.846300000000 0.000000000000 -4.923292004850,0.000000000000 16.851200000000 -3.356990354741,0.000000000000 0.000000000000 16.192673654562,2037.855944574992,1259.505385985968
ACOLEL_clean,5.939979908209462,15.54845,16.40794,19.46412,2 2 2,17.656000000000 -8.827825251862 0.000000000000,0.000000000000 17.284544885029 -6.446872446776,0.000000000000 0.000000000000 19.464117027366,5203.991885074761,1454.791125935437
ACOLIP_clean,1.5278583504287848,9.81791,9.28430,12.78612,3 3 2,11.567000000000 -5.783491001692 0.000000000000,0.000000000000 10.330549730971 -6.238794200685,0.000000000000 0.000000000000 12.786124351089,965.653855816805,1049.511968003637
ACOLOV_clean,10.047779982995438,11.36700,24.15409,36.26730,3 1 1,11.367000000000 0.000000000000 0.000000000000,0.000000000000 24.373000000000 -4.893863851499,0.000000000000 0.000000000000 36.267303630171,5224.396988018506,863.405999836833
ACOLUB_clean,4.644212272291889,15.37714,16.38432,16.38433,2 2 2,16.483000560000 5.359525894466 5.359496339448,0.000000000000 17.196779885339 5.223344340619,0.000000000000 0.000000000000 16.384328843342,3032.668596304008,1084.331067189164
acs.cgd.5b01554_VAGNUP1452791_clean,7.648601419682999,21.71700,23.36900,15.07100,2 2 2,21.717000000000 0.000000000000 0.000000000000,0.000000000000 23.369000000000 0.000000000000,0.000000000000 0.000000000000 15.071000000000,6773.120047251818,1470.468589229275
acs.cgd.5b01686_WAHFUJ1434675_clean,2.36218103268228,10.66870,8.79500,24.87771,3 3 1,10.796100000000 0.000000000000 -3.856164080150,0.000000000000 8.795000000000 0.000000000000,0.000000000000 0.000000000000 24.877711985369,1827.426319153831,1284.623037437027
acs.cgd.6b00163_UKEBOD1448508_clean,5.146407789644472,10.80956,33.97300,13.84565,3 1 2,10.941000000000 0.000000000000 -2.165694865195,0.000000000000 33.973000000000 0.000000000000,0.000000000000 0.000000000000 13.845647754831,5008.899646395387,1616.170381566888
acs.cgd.6b00463_OLOMUZ1451936_clean,31.22751742409288,18.94993,18.94993,75.31000,2 2 1,21.881500000000 -10.940750000000 0.000000000000,0.000000000000 18.949934872909 0.000000000000,0.000000000000 0.000000000000 75.310000000000,20236.730408194973,1076.098176125039
acs.chemmater.5b03723_cm5b03723_si_004_clean,24.241953319543295,28.94160,28.94160,28.94160,1 1 1,28.941600000000 0.000000000000 0.000000000000,0.000000000000 28.941600000000 0.000000000000,0.000000000000 0.000000000000 28.941600000000,11278.898299196953,772.588214062866
acs.chemmater.5b03723_cm5b03723_si_005_clean,24.454909583049577,29.02610,29.02610,29.02610,1 1 1,29.026100000000 0.000000000000 0.000000000000,0.000000000000 29.026100000000 0.000000000000,0.000000000000 0.000000000000 29.026100000000,9501.010409566581,645.138174584819
acs.chemmater.6b02817_cm6b02817_si_004_clean,10.579034232309825,21.95240,21.95240,21.95240,2 2 2,21.952400000000 0.000000000000 0.000000000000,0.000000000000 21.952400000000 0.000000000000,0.000000000000 0.000000000000 21.952400000000,5719.015510928978,897.685604003436
acs.chemrev.6b00346_cr6b00346_si_001_clean,6.380417751676424,18.54740,18.54740,18.54740,2 2 2,18.547400000000 0.000000000000 0.000000000000,0.000000000000 18.547400000000 0.000000000000,0.000000000000 0.000000000000 18.547400000000,3482.960026487976,906.459456526623
acscombsci.5b00188_24205_clean,0.67617532208587,8.30427,10.52856,7.41090,3 3 4,8.597400000000 0.945299466874 -1.789951312569,0.000000000000 10.612582629969 0.938104943120,0.000000000000 0.000000000000 7.410902486494,514.086782258503,1262.484718018414
acscombsci.5b00188_3001288_clean,26.606704421633335,27.36166,27.35977,27.36091,1 1 1,33.510600000000 16.757483725470 16.748995635182,0.000000000000 29.018730731729 9.671480210792,0.000000000000 0.000000000000 27.360905650123,2501.562446798751,156.123857144732
acscombsci.5b00188_34903_clean,1.031667728756019,10.60527,10.60517,9.13030,3 3 3,10.654600000000 1.024076092342 0.000047806139,0.000000000000 10.605170362002 0.000683792267,0.000000000000 0.000000000000 9.130299974269,1345.588667428994,2165.815630575413
acscombsci.5b00188_5013797_clean,3.673029083627634,17.07740,12.59450,17.07740,2 2 2,17.077400000000 -0.003582992482 -0.004649686922,0.000000000000 12.594499490340 -0.006528768072,0.000000000000 0.000000000000 17.077398119023,1470.923151334576,664.989250345450
acscombsci.5b00188_5020072_clean,4.6395813743137895,19.03346,19.03425,12.73820,2 2 2,19.121200000000 -1.667344811623 0.549014988418,0.000000000000 19.048265708173 -0.488897550015,0.000000000000 0.000000000000 12.738204351010,1200.360530507472,429.617455998904
acscombsci.5b00188_5024922_clean,7.690983393141614,21.29539,21.29539,16.95940,2 2 2,21.295400000000 0.016762533802 0.005505550970,0.000000000000 21.295393402740 -0.008647459143,0.000000000000 0.000000000000 16.959396901729,1366.402224302152,295.016084906906
acscombsci.5b00188_5036495_clean,3.529746494255897,16.00799,14.42839,15.18620,2 2 2,16.109300000000 1.625848892411 0.000159029515,0.000000000000 14.428385338251 0.001235695115,0.000000000000 0.000000000000 15.186199948893,719.295512629690,338.386356249805
acscombsci.5b00188_5040209_clean,1.455667810322091,10.65230,14.04130,9.73020,3 2 3,10.654500000000 0.285199153253 0.000016982403,0.000000000000 14.041303895400 0.000747034900,0.000000000000 0.000000000000 9.730199971308,917.260152531321,1046.355490554805
acscombsci.5b00188_8372_clean,1.430064875494655,8.49740,8.49740,19.80540,3 3 2,8.497400000000 -0.000652553474 -0.001693780252,0.000000000000 8.497399974944 0.000380106312,0.000000000000 0.000000000000 19.805399923925,825.848195167709,958.944544381319
acs.inorgchem.5b02108_ic5b02108_si_002_clean,2.742163414583125,15.16750,15.16750,11.91970,2 2 3,15.167500000000 0.000000000000 0.000000000000,0.000000000000 15.167500000000 0.000000000000,0.000000000000 0.000000000000 11.919700000000,1998.701923579484,1210.329745346703
acs.inorgchem.5b02316_ic5b02316_si_002_clean,3.907101466307025,13.95850,13.95850,20.05290,2 2 2,13.958500000000 0.000000000000 0.000000000000,0.000000000000 13.958500000000 0.000000000000,0.000000000000 0.000000000000 20.052900000000,3157.479108556033,1341.945271648951
