Structures,Volume in nm3
1499489-acs.cgd.6b01265_1499490_clean.cif,16.1
ABAVIJ_clean.cif,1.5
ABAVOP_clean.cif,1.3
ABAYIO_clean.cif,19.2
ABAYOU_clean.cif,18.9
ABEFUL_clean.cif,2.3
ABEMIF_clean.cif,3.6
ABESUX_clean.cif,2.8
ABETAE_clean.cif,2.8
ABETIN_clean.cif,20.0
ABEXEM_clean.cif,2.6
ABEXEN_clean.cif,17.9
ABEXIQ_clean.cif,2.6
ABEXOW_clean.cif,2.6
ABEXUC_clean.cif,2.5
ABEYAJ_clean.cif,2.5
ABEYEN_clean.cif,2.5
ABEYIR.cif,2.5
ABEYIR_clean.cif,2.5
ABIXOZ_clean.cif,2.6
ABIYIV.cif,4.7
ABIYIV_clean.cif,4.7
ABULOB_clean.cif,1.7
ABUWOJ_clean.cif,4.5
ACAJIY_clean.cif,6.4
ACAJIZ_clean.cif,2.9
ACAJOF_clean.cif,3.2
ACAKUM.cif,2.4
ACAKUM_clean.cif,2.4
ACALIB_clean.cif,2.2
ACECIV_ion_b.cif,3.3
ACIBIY_clean.cif,5.9
ACIBOE_clean.cif,5.0
ACMPCD_clean.cif,1.7
ACODED.cif,5.5
ACODON_clean.cif,3.6
ACODUT_clean.cif,2.7
ACOGAB_clean.cif,2.8
ACOGEF_clean.cif,2.9
ACOLEL_clean.cif,7.0
ACOLIP_clean.cif,1.9
ACOLOV_clean.cif,10.1
ACOLUB_clean.cif,5.3
ACUBAB_clean.cif,1.9
ACUTOI_clean.cif,3.4
ADABAK.cif,2.2
ADABAK01_clean.cif,1.2
ADABIS_clean.cif,1.2
ADABUE_clean.cif,1.3
ADATOQ_clean.cif,17.0
ADATUW_clean.cif,16.7
ADAVAE_clean.cif,16.4
ADAVEI_clean.cif,16.3
ADAVIM_clean.cif,16.7
ADAXEK_clean.cif,0.9
ADAXIO_clean.cif,4.3
ADEGIA01_clean.cif,1.0
ADEGIA_clean.cif,1.0
ADIQEL_clean.cif,1.0
ADOBAX.cif,4.4
ADOBAX_charged.cif,4.4
ADOBEB_charged.cif,4.4
ADOBIF_clean.cif,4.3
ADOBOL_charged.cif,4.3
ADOBOL_clean.cif,4.3
ADOBUR_charged.cif,4.3
ADOCAY_charged.cif,4.3
ADOCEC_clean.cif,4.3
ADOCIG_charged.cif,4.3
ADODAA_charged.cif,9.7
ADODII_clean.cif,1.8
ADODOO_clean.cif,1.7
ADODUU_clean.cif,1.7
ADOGEH_clean.cif,18.3
ADUWIH_clean.cif,10.8
AFEDIA_clean.cif,1.5
AFEJOK_ion_b.cif,2.0
AFEKAX_clean.cif,1.0
AFENEE_clean.cif,2.0
AFIPAH_clean.cif,1.3
AFITEP_clean.cif,1.6
AFITIT_clean.cif,4.4
AFITUF_clean.cif,8.5
AFIXAO_clean.cif,5.7
AFIXES_clean.cif,5.7
AFOQUI_clean.cif,2.3
AFOTOF_clean.cif,1.8
AFOTUL_clean.cif,1.9
AFOVAT_clean.cif,1.8
AFOVEX_clean.cif,1.9
AFOVIB_clean.cif,1.8
