,STRUCTURE_NAME,a,b,c,UnitCell
0,1499489-acs.cgd.6b01265_1499490_clean,18.975,18.975,44.763000000000005,1 1 1
1,ABAVIJ_clean,9.8064,10.6685,13.971114000000002,2 2 1
2,ABAVOP_clean,9.777999999999999,10.265999999999998,13.212,2 2 1
3,ABAYIO_clean,26.771,26.771,26.771,1 1 1
4,ABAYOU_clean,26.647,26.647,26.647,1 1 1
5,ABEFUL_clean,15.3873,15.3873,9.8379,1 1 2
6,ABEMIF_clean,15.384,15.384,15.384,1 1 1
7,ABESUX_clean,15.512,13.7953,13.0199,1 1 1
8,ABETAE_clean,15.52,13.89,13.0769,1 1 1
9,ABETIN_clean,26.9629,26.9629,27.5365,1 1 1
10,ABEXEM_clean,11.0417,12.135,19.6509,2 1 1
11,ABEXEN_clean,25.098000000000003,25.098000000000003,28.4464,1 1 1
12,ABEXIQ_clean,11.036,12.056,19.561,2 1 1
13,ABEXOW_clean,11.008,12.002,19.473,2 1 1
14,ABEXUC_clean,10.989,11.946,19.402,2 2 1
15,ABEYAJ_clean,10.962,11.868,19.307000000000002,2 2 1
16,ABEYEN_clean,10.943,11.828,19.261,2 2 1
17,ABEYIR,10.934000000000001,11.7927,19.2152,2 2 1
18,ABEYIR_clean,10.934000000000001,11.7927,19.2152,2 2 1
19,ABIXOZ_clean,12.7846,12.8311,15.9937,1 1 1
20,ABIYIV,11.104000000000001,19.8834,21.3025,2 1 1
21,ABIYIV_clean,11.104000000000001,19.8834,21.3025,2 1 1
22,ABULOB_clean,8.5009,15.3652,13.374,2 1 1
23,ABUWOJ_clean,14.4988,17.1659,18.1536,1 1 1
24,ac403674p_si_001_clean,14.7843,15.9539,15.9539,1 1 1
25,ACAJIY_clean,17.508,17.508,20.7888,1 1 1
26,ACAJIZ_clean,25.666999999999998,13.075999999999999,8.725,1 1 2
27,ACAJOF_clean,8.677,13.042,28.201,2 1 1
28,ACAKUM,10.395,10.779000000000002,21.445,2 2 1
29,ACAKUM_clean,10.395,10.779000000000002,21.445,2 2 1
30,ACALIB_clean,9.7494,11.0484,20.4845,2 2 1
31,ACECIV_ion_b,10.600999999999999,26.840999999999998,11.464,2 1 2
32,ACIBIY_clean,15.205,18.005,21.5,1 1 1
33,ACIBOE_clean,17.0713,17.0713,17.0713,1 1 1
34,ACMPCD_clean,5.349,15.9656,19.8969,3 1 1
35,ACOCOM_clean,46.588,46.588,46.588,1 1 1
36,ACOCUS_clean,46.806000000000004,46.806000000000004,46.806000000000004,1 1 1
37,ACODAZ_clean,46.73,46.73,46.73,1 1 1
38,ACODED,14.2992,16.0811,24.0918,1 1 1
39,ACODON_clean,10.5573,14.4794,23.316,2 1 1
40,ACODUT_clean,17.06,17.06,9.2376,1 1 2
41,ACOGAB_clean,9.9817,16.6382,17.0675,2 1 1
42,ACOGEF_clean,9.8463,16.8512,17.2543,2 1 1
43,ACOLEL_clean,17.656,19.4084,20.504,1 1 1
44,ACOLIP_clean,11.567,11.8393,14.227,2 2 1
45,ACOLOV_clean,11.367,24.373,36.596,2 1 1
46,ACOLUB_clean,16.483001,18.0126,18.0126,1 1 1
47,acs.cgd.5b01554_VAGNUP1452791_clean,21.717,23.369,15.071,1 1 1
48,acs.cgd.5b01686_WAHFUJ1434675_clean,10.7961,8.795,25.1748,2 2 1
49,acs.cgd.6b00163_UKEBOD1448508_clean,10.940999999999999,33.973,14.014000000000001,2 1 1
50,acs.cgd.6b00463_OLOMUZ1451936_clean,21.8815,21.8815,75.31,1 1 1
51,acs.chemmater.5b03723_cm5b03723_si_004_clean,28.9416,28.9416,28.9416,1 1 1
52,acs.chemmater.5b03723_cm5b03723_si_005_clean,29.0261,29.0261,29.0261,1 1 1
53,acs.chemmater.6b02817_cm6b02817_si_004_clean,21.9524,21.9524,21.9524,1 1 1
54,acs.chemrev.6b00346_cr6b00346_si_001_clean,18.5474,18.5474,18.5474,1 1 1
55,acscombsci.5b00188_24205_clean,8.5974,10.6546,7.6815,2 2 2
56,acscombsci.5b00188_3001288_clean,33.5106,33.5097,33.5065,1 1 1
57,acscombsci.5b00188_34903_clean,10.6546,10.6545,9.1303,2 2 2
58,acscombsci.5b00188_5013797_clean,17.0774,12.5945,17.0774,1 1 1
59,acscombsci.5b00188_5020072_clean,19.1212,19.1211,12.7594,1 1 1
60,acscombsci.5b00188_5024922_clean,21.2954,21.2954,16.9594,1 1 1
61,acscombsci.5b00188_5036495_clean,16.1093,14.5197,15.1862,1 1 1
62,acscombsci.5b00188_5040209_clean,10.6545,14.0442,9.7302,2 1 2
63,acscombsci.5b00188_8372_clean,8.4974,8.4974,19.8054,2 2 1
64,acs.inorgchem.5b02108_ic5b02108_si_002_clean,15.1675,15.1675,11.9197,1 1 2
65,acs.inorgchem.5b02316_ic5b02316_si_002_clean,13.9585,13.9585,20.0529,1 1 1
66,acs.inorgchem.5b02378_ic5b02378_si_002_clean,13.3451,23.7349,13.1709,1 1 1
67,acs.inorgchem.5b02973_ic5b02973_si_002_clean,21.5669,21.5669,7.7969,1 1 2
68,acs.inorgchem.6b00081_ic6b00081_si_001_clean,30.594,30.594,15.9646,1 1 1
69,acs.inorgchem.6b00136_ic6b00136_si_002_clean,17.0192,27.796,9.3238,1 1 2
70,acs.inorgchem.6b00276_ic6b00276_si_006_clean,31.837,31.837,62.41,1 1 1
71,acs.inorgchem.6b00433_ic6b00433_si_002_clean,12.5757,13.4705,14.2408,1 1 1
72,acs.inorgchem.6b00894_ic6b00894_si_002_clean,21.719,19.469,20.835,1 1 1
73,acs.inorgchem.6b00894_ic6b00894_si_003_clean,11.6274,19.663,32.678000000000004,2 1 1
74,acs.inorgchem.6b01211_ic6b01211_si_002_clean,18.586,18.586,38.461,1 1 1
75,acs.inorgchem.6b01416_ic6b01416_si_004_clean,15.775,16.035,33.845,1 1 1
76,acs.inorgchem.6b01569_ic6b01569_si_002_clean,35.4247,13.9402,9.4516,1 1 2
77,acs.inorgchem.6b01740_ic6b01740_si_002_clean,36.793,36.793,36.793,1 1 1
78,acs.inorgchem.6b01762_ic6b01762_si_002_clean,40.8076,20.371,29.8948,1 1 1
79,acs.inorgchem.6b02407_ic6b02407_si_002_clean,9.7373,15.1542,21.1695,2 1 1
80,acs.inorgchem.6b02407_ic6b02407_si_003_clean,25.0141,21.2383,10.0324,1 1 2
81,acs.inorgchem.6b02413_ic6b02413_si_002_clean,27.546,27.546,27.546,1 1 1
82,acs.inorgchem.6b02514_ic6b02514_si_002_clean,8.3425,11.9337,21.6641,2 2 1
83,acs.inorgchem.6b02696_ic6b02696_si_002_clean,41.393,41.393,41.393,1 1 1
84,acs.jchemed.6b00258_ed6b00258_si_005_clean,28.612,9.3899,9.2741,1 2 2
85,acs.jpcc.6b04690_jp6b04690_si_005_clean,16.0756,19.9994,28.3586,1 1 1
86,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,14.8273,14.8273,20.9174,1 1 1
87,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,17.8892,17.8892,52.1012,1 1 1
88,ACUBAB_clean,8.8775,8.8775,23.775,2 2 1
89,ACUFEK_clean,32.968,32.968,32.9757,1 1 1
90,ACUJOZ_clean5b,46.582,46.582,21.331999999999997,1 1 1
91,ACUJOZ_manual,46.582,46.582,21.331999999999997,1 1 1
92,ACUTOI_clean,7.0822,20.72,22.878,2 1 1
93,ADABAK01_clean,9.2413,9.2844,14.018837,2 2 1
94,ADABAK,9.2637,9.3223,25.983557,2 2 1
95,ADABIS_clean,9.2553,9.3537,13.873453,2 2 1
96,ADABUE_clean,9.2741,9.3899,15.056673000000002,2 2 1
97,ADARAA_clean,38.805,38.805,38.805,1 1 1
98,ADASAB_charged,45.206,45.206,45.206,1 1 1
99,ADASEF_clean,38.4594,38.4594,38.4594,1 1 1
100,ADASIJ_clean,29.3304,29.3304,29.3304,1 1 1
101,ADASOP_clean,29.3026,29.3026,29.3847,1 1 1
102,ADASUV_clean,29.3951,29.3951,29.4188,1 1 1
103,ADATAC_clean,40.1623,40.1623,40.1623,1 1 1
104,ADATEG_clean5b,48.5104,48.5104,48.5104,1 1 1
105,ADATEG_manual,48.5104,48.5104,48.5104,1 1 1
106,ADATIK_clean,41.556999999999995,41.556999999999995,41.6393,1 1 1
107,ADATOQ_clean,25.6886,25.6886,25.6886,1 1 1
108,ADATUW_clean,25.574,25.574,25.574,1 1 1
109,ADAVAE_clean,25.381,25.381,25.381,1 1 1
110,ADAVEI_clean,25.369,25.369,25.369,1 1 1
111,ADAVIM_clean,25.5824,25.5824,25.5824,1 1 1
112,ADAXEK_clean,7.166801,9.8524,12.3722,2 2 1
113,ADAXIO_clean,18.191,17.177,13.6923,1 1 1
114,ADEGIA01_clean,8.6006,10.173,11.125,2 2 2
115,ADEGIA_clean,8.6066,10.156,11.161,2 2 2
116,ADIQEL_clean,8.201,10.492,11.125,2 2 2
117,ADOBAX,14.915999999999999,17.266,17.266,1 1 1
118,ADOBAX_charged,14.915999999999999,17.266,17.266,1 1 1
119,ADOBEB_charged,14.915999999999999,17.266,17.266,1 1 1
120,ADOBIF_clean,17.066,17.066,14.625,1 1 1
121,ADOBOL_charged,14.625,17.066,17.066,1 1 1
122,ADOBOL_clean,14.625,17.066,17.066,1 1 1
123,ADOBUR_charged,14.6533,17.0616,17.0616,1 1 1
124,ADOCAY_charged,14.6533,17.0616,17.0616,1 1 1
125,ADOCEC_clean,17.090999999999998,17.090999999999998,14.610999999999999,1 1 1
126,ADOCIG_charged,14.610999999999999,17.090999999999998,17.090999999999998,1 1 1
127,ADODAA_charged,21.3336,21.3336,21.3336,1 1 1
128,ADODII_clean,7.3933,14.349,16.9754,2 1 1
129,ADODOO_clean,7.1091,14.5399,16.7754,2 1 1
130,ADODUU_clean,7.0665,14.5262,16.7109,2 1 1
131,ADOGEH_clean,26.3336,26.3336,26.3336,1 1 1
132,ADUROI_clean,50.8198,50.8198,50.8198,1 1 1
133,ADUWIH_clean,22.072,22.072,22.072,1 1 1
134,ADUWON_clean,30.014,30.014,30.014,1 1 1
135,AFEDIA_clean,10.2347,10.8608,13.7452,2 2 1
136,AFEJOK_ion_b,13.4779,13.4779,11.1085,1 1 2
137,AFEKAX_clean,11.0449,11.0449,8.055,2 2 2
138,AFENEE_clean,11.54,11.54,14.943,2 2 1
139,AFIPAH_clean,9.1664,9.1664,14.969000000000001,2 2 1
140,AFITEP_clean,6.1751,14.7508,17.144000000000002,2 1 1
141,AFITIT_clean,14.0334,17.7321,17.7321,1 1 1
142,AFITUF_clean,14.0828,21.4518,28.2518,1 1 1
